audio_path,transcript,target_phonemes,chosen,rejected,dpo_weight,flip_target
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010011.WAV,WE CALL IT BEAR,w i k ɔ l ɪ t b ɛ ɹ,"Accuracy: Good
Fluency: Excellent
Prosody: Excellent
Words: WE/Excellent CALL/Excellent IT/Excellent BEAR/Average
Phonemes: w/Excellent i/Excellent k/Excellent ɔ/Good l/Good ɪ/Excellent t/Excellent b/Excellent ɛ/Average ɹ/Average","Accuracy: Good
Fluency: Excellent
Prosody: Excellent
Words: WE/Good CALL/Good IT/Good BEAR/Good
Phonemes: w/Excellent i/Excellent k/Excellent ɔ/Good l/Good ɪ/Excellent t/Excellent b/Excellent ɛ/Average ɹ/Average",1.0,word
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010035.WAV,ZERO THREE FIVE ONE,z ɪ ɹ oʊ θ ɹ i f aɪ v w ə n,"Accuracy: Good
Fluency: Excellent
Prosody: Excellent
Words: ZERO/Good THREE/Good FIVE/Excellent ONE/Excellent
Phonemes: z/Excellent ɪ/Average ɹ/Average oʊ/Excellent θ/Average ɹ/Excellent i/Excellent f/Excellent aɪ/Excellent v/Good w/Excellent ə/Excellent n/Excellent","Accuracy: Good
Fluency: Excellent
Prosody: Good
Words: ZERO/Good THREE/Good FIVE/Excellent ONE/Excellent
Phonemes: z/Excellent ɪ/Average ɹ/Average oʊ/Excellent θ/Average ɹ/Excellent i/Excellent f/Excellent aɪ/Excellent v/Good w/Excellent ə/Excellent n/Excellent",1.0,pros
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010053.WAV,THREE TWO TWO SEVEN,θ ɹ i t u t u s ɛ v n,"Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: THREE/Excellent TWO/Excellent TWO/Excellent SEVEN/Excellent
Phonemes: θ/Good ɹ/Excellent i/Excellent t/Excellent u/Good t/Excellent u/Good s/Excellent ɛ/Excellent v/Excellent n/Excellent","Accuracy: Excellent
Fluency: Excellent
Prosody: Good
Words: THREE/Excellent TWO/Excellent TWO/Excellent SEVEN/Excellent
Phonemes: θ/Good ɹ/Excellent i/Excellent t/Excellent u/Good t/Excellent u/Good s/Excellent ɛ/Excellent v/Excellent n/Excellent",1.0,pros
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010063.WAV,ELEPHANTS TAI GOOSE,ɛ l ɪ f ə n t s t aɪ ɡ u s,"Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: ELEPHANTS/Excellent TAI/Excellent GOOSE/Excellent
Phonemes: ɛ/Excellent l/Excellent ɪ/Excellent f/Excellent ə/Good n/Excellent t/Excellent s/Excellent t/Excellent aɪ/Excellent ɡ/Excellent u/Excellent s/Excellent","Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: ELEPHANTS/Excellent TAI/Excellent GOOSE/Excellent
Phonemes: ɛ/Good l/Good ɪ/Good f/Good ə/Average n/Good t/Good s/Good t/Good aɪ/Good ɡ/Good u/Good s/Good",1.0,phone
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010069.WAV,TOM GIVES UP BOXING,t ɑ m ɡ ɪ v z ə p b ɑː k s ɪ ŋ,"Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: TOM/Excellent GIVES/Excellent UP/Excellent BOXING/Excellent
Phonemes: t/Excellent ɑ/Excellent m/Excellent ɡ/Excellent ɪ/Excellent v/Excellent z/Good ə/Excellent p/Excellent b/Excellent ɑː/Excellent k/Excellent s/Excellent ɪ/Excellent ŋ/Excellent","Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: TOM/Excellent GIVES/Excellent UP/Excellent BOXING/Excellent
Phonemes: t/Good ɑ/Good m/Good ɡ/Good ɪ/Good v/Good z/Excellent ə/Good p/Good b/Good ɑː/Good k/Good s/Good ɪ/Good ŋ/Good",1.0,phone
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010075.WAV,HE HATES SHOOTING,h i h eɪ t s ʃ uː t ɪ ŋ,"Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: HE/Excellent HATES/Excellent SHOOTING/Excellent
Phonemes: h/Excellent i/Good h/Excellent eɪ/Excellent t/Excellent s/Excellent ʃ/Excellent uː/Excellent t/Excellent ɪ/Excellent ŋ/Excellent","Accuracy: Good
Fluency: Excellent
Prosody: Excellent
Words: HE/Excellent HATES/Excellent SHOOTING/Excellent
Phonemes: h/Excellent i/Good h/Excellent eɪ/Excellent t/Excellent s/Excellent ʃ/Excellent uː/Excellent t/Excellent ɪ/Excellent ŋ/Excellent",1.0,acc
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010089.WAV,MANDY HAS A BIG ARM,m æ n d i h æ z ə b ɪ ɡ ɑ ɹ m,"Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: MANDY/Excellent HAS/Excellent A/Excellent BIG/Excellent ARM/Excellent
Phonemes: m/Excellent æ/Excellent n/Excellent d/Excellent i/Excellent h/Excellent æ/Excellent z/Excellent ə/Excellent b/Excellent ɪ/Excellent ɡ/Excellent ɑ/Excellent ɹ/Good m/Excellent","Accuracy: Excellent
Fluency: Good
Prosody: Excellent
Words: MANDY/Excellent HAS/Excellent A/Excellent BIG/Excellent ARM/Excellent
Phonemes: m/Excellent æ/Excellent n/Excellent d/Excellent i/Excellent h/Excellent æ/Excellent z/Excellent ə/Excellent b/Excellent ɪ/Excellent ɡ/Excellent ɑ/Excellent ɹ/Good m/Excellent",1.0,flu
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010095.WAV,LOOK AT ANN'S PANTS,l ʊ k æ t æ n z p æ n t s,"Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: LOOK/Excellent AT/Excellent ANN'S/Good PANTS/Excellent
Phonemes: l/Excellent ʊ/Excellent k/Excellent æ/Excellent t/Excellent æ/Excellent n/Excellent z/Average p/Excellent æ/Excellent n/Excellent t/Good s/Good","Accuracy: Excellent
Fluency: Excellent
Prosody: Excellent
Words: LOOK/Good AT/Good ANN'S/Excellent PANTS/Good
Phonemes: l/Excellent ʊ/Excellent k/Excellent æ/Excellent t/Excellent æ/Excellent n/Excellent z/Average p/Excellent æ/Excellent n/Excellent t/Good s/Good",1.0,word
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010106.WAV,WHAT ABOUT THE BUS,w ə t ə b aʊ t ð ə b ə s,"Accuracy: Excellent
Fluency: Excellent
Prosody: Good
Words: WHAT/Excellent ABOUT/Excellent THE/Excellent BUS/Excellent
Phonemes: w/Excellent ə/Good t/Excellent ə/Excellent b/Excellent aʊ/Excellent t/Excellent ð/Excellent ə/Excellent b/Excellent ə/Excellent s/Excellent","Accuracy: Excellent
Fluency: Excellent
Prosody: Average
Words: WHAT/Excellent ABOUT/Excellent THE/Excellent BUS/Excellent
Phonemes: w/Excellent ə/Good t/Excellent ə/Excellent b/Excellent aʊ/Excellent t/Excellent ð/Excellent ə/Excellent b/Excellent ə/Excellent s/Excellent",1.0,pros
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010113.WAV,THEN HE WENT TO THEME PARK,ð ɛ n h i w ɛ n t t u θ i m p ɑ ɹ k,"Accuracy: Fair
Fluency: Excellent
Prosody: Good
Words: THEN/Excellent HE/Good WENT/Excellent TO/Excellent THEME/Bad PARK/Excellent
Phonemes: ð/Excellent ɛ/Excellent n/Excellent h/Average i/Excellent w/Excellent ɛ/Excellent n/Excellent t/Excellent t/Excellent u/Excellent θ/Average i/Worst m/Good p/Excellent ɑ/Excellent ɹ/Good k/Excellent","Accuracy: Fair
Fluency: Excellent
Prosody: Good
Words: THEN/Good HE/Excellent WENT/Good TO/Good THEME/Good PARK/Good
Phonemes: ð/Excellent ɛ/Excellent n/Excellent h/Average i/Excellent w/Excellent ɛ/Excellent n/Excellent t/Excellent t/Excellent u/Excellent θ/Average i/Worst m/Good p/Excellent ɑ/Excellent ɹ/Good k/Excellent",1.0,word
